Type,Common Name of Products,Trade Name of Products,Registration No,Name of Registration Holder,Recommended Crops,Recommended Pests,Dosage rate/ha
Miticide,Bromopropylate,Nerot 500 EC,AP-398,Hossain Enterprise C.C.Limited,Jute,Yellow mites,0.05% a.i
Miticide,Bromopropylate,Nerot 500 EC,AP-398,Hossain Enterprise C.C.Limited,Tea,Red mites & other mites,1.12 Litre
Miticide,Bromopropylate,Myron 500 EC,AP-1410,Aungkur Traders,Tea,Red Spider mites,1.00 Litre
Miticide,Ethion,Sethion 46.5 EC,AP-295,Shetu Pesticides Limited,Tea,Red mites & other mites,1.25 Litre
Miticide,Ethion,Ethion 46.5 EC,AP-542,FMC Chemical International AG,Tea,Red mites & other mites,1.26 Litre
Miticide,Ethion,Ethion 46.5 EC,AP-542,FMC Chemical International AG,Jute,Yellow mites & others mites,1.68 Litre
Miticide,Ethion,Ethion 46.5 EC,AP-542,FMC Chemical International AG,Cotton,Mites & White fly,2.50 Litre
Miticide,Ethion,Ethiosul 46.5 EC,AP-777,Hossain Enterprise C.C.Limited,Tea,Red spider mites,1.25 Litre
Miticide,Ethion,Ethiosul 46.5 EC,AP-777,Hossain Enterprise C.C.Limited,Jute,Yellow mite,1.68 Litre
Miticide,Fenpropathrin,Danitol 10 EC,AP-291,Shetu Corporation Limited,Brinjal,Red spider mite,1 ml/Litre of water
Miticide,Fenpropathrin,Danitol 10 EC,AP-291,Shetu Corporation Limited,Tea,Red spider mite,1.00 Litre
Miticide,Fenpropathrin,Danitol 10 EC,AP-291,Shetu Corporation Limited,Tea,Red spider mite,1.00 Litre
Miticide,Hexathazox,Hexarite 5 EC,AP-1388,Naafco (Private) Limited,Tea,Red spider mites,1.00 Litre
Miticide,Propergite,Omite 57 EC,AP-184,Shetu Corporation Limited,Tea,Red spider mites,1.00 Litre
Miticide,Propergite,Omite 57 EC,AP-184,Shetu Corporation Limited,Brinjal,Red mite,1.00 Litre
Miticide,Propergite,Sumite 57 EC,AP-360,McDonald Bangladesh (Pvt) Limited,Tea,Red mites,1.68 Litre
Miticide,Propergite,Emimite 57 EC,AP-1159,Eminence Chemical Industries Ltd,Tea,Red spider mites,1.00 Litre
Miticide,Propergite,Motive 57 EC,AP-1189,Mosco Marketing Company,Tea,Red spider mites,1.00 Litre
Miticide,Propergite,Aromit 57 EC,AP-2308,Sun Seed Pesticides,Tea,Red spider mites,1.00 Litre
Miticide,Propergite,Mastamite 57 EC,AP-2447,Hossain Enterprise C.C. Limited,Tea,Red spider mites,1.00 Litre
Miticide,Sulphur,Microthiol Special 80 WP,AP-252,Shetu Pesticides Limited,Tea,Red mites & other mites,2.20 Kg
Miticide,Sulphur,Microthiol Special 80 WP,AP-252,Shetu Pesticides Limited,Rice,Leaf scald,2.25 Kg
Miticide,Sulphur,Limi Sulphur 80 WP,AP-292,The Limit Agroproducts Limited,Jute,Yellow mites,1.68 Kg
Miticide,Sulphur,Limi Sulphur 80 WP,AP-292,The Limit Agroproducts Limited,Tea,Red mites,2.20 Kg
Miticide,Sulphur,Sulfex 80 WP,AP-356,Auto Crop Care Limited,Jute,Yellow mites,1.50 gm/Litre of water
Miticide,Sulphur,Sulfex 80 WP,AP-356,Auto Crop Care Limited,Tea,Red spider mite,2.20 Kg
Miticide,Sulphur,Sulphotox 80 WP,AP-357,ACI Formulations Limited,Jute,Yellow mites,1.50 gm/Litre of water
Miticide,Sulphur,Sulphotox 80 WP,AP-357,ACI Formulations Limited,Tea,Red mites,2.20 Kg
Miticide,Sulphur,Wettasul 80 WP,AP-358,Alpha Agro Limited,Jute,Yellow mites,1.50 gm/Litre of water
Miticide,Sulphur,McSulphur 80 WP,AP-367,McDonald Bangladesh (Pvt) Limited,Jute,Yellow mite,0.12 (1.5gm/Litre of wa.)
Miticide,Sulphur,McSulphur 80 WP,AP-367,McDonald Bangladesh (Pvt) Limited,Tea,"Red spider,Scarlet,Purple,Pink mites",2.25 Kg
Miticide,Sulphur,McSulphur 80 WP,AP-367,McDonald Bangladesh (Pvt) Limited,Cucurbits,Powdery mildew,2 gm/Litre of water
Miticide,Sulphur,Ronovit 80 WG,AP-388,Bayer CropScience Limited,Tea,Red spider mites,2.20 Kg
Miticide,Sulphur,Ronovit 80 WG,AP-388,Bayer CropScience Limited,Jute,Yellow mites,0.12% formulated
Miticide,Sulphur,Cosavet DF,AP-397,Alpha Agro Limited,Jute,Yellow mites,880 gm
Miticide,Sulphur,Cosavet DF,AP-397,Alpha Agro Limited,Tea,Red mites,2.20 Kg
Miticide,Sulphur,Cosavet DF,AP-397,Alpha Agro Limited,Cucurbits,Powdery mildew,2 gm/Litre of water
Miticide,Sulphur,Sulphur 80 WP,AP-392,Reximco Insecticides Limited,Jute,Yellow mites,0.12% a.i.
Miticide,Sulphur,Sulphur 80 WP,AP-392,Reximco Insecticides Limited,Tea,Mites,2.20 Kg
Miticide,Sulphur,Sulphur 80 WP,AP-392,Reximco Insecticides Limited,Cucurbits,Powdery mildew,1.25 gm/Litre of water
Miticide,Sulphur,Sulfolac 80% WG,AP-413,Haychem (Bangladesh) Limited,Jute,Yellow Mites,2.20 Kg
Miticide,Sulphur,Sulfolac 80% WG,AP-413,Haychem (Bangladesh) Limited,Cucurbits,Powdery mildew,1.25 gm/Litre of water
Miticide,Sulphur,Sulfolac 80% WG,AP-413,Haychem (Bangladesh) Limited,Tea,Red mites,2.20 Kg
Miticide,Sulphur,Sulfolac 80% WG,AP-413,Haychem (Bangladesh) Limited,Rice,Leaf scald,2.25 Kg
Miticide,Sulphur,Filvit 80 WG,AP-480,Agritech,Tea,Red mites,2.20 Kg
Miticide,Sulphur,Haysulf DF 80%,AP-481,Haychem (Bangladesh) Limited,Tea,Red mites,2.20 Kg
Miticide,Sulphur,Haysulf DF 80%,AP-481,Haychem (Bangladesh) Limited,Cucurbits,Powdery mildew,2 gm/Litre of water
Miticide,Sulphur,Haysulf DF 80%,AP-481,Haychem (Bangladesh) Limited,Jute,Yellow mites,0.12 a.i
Miticide,Sulphur,Haysulf DF 80%,AP-481,Haychem (Bangladesh) Limited,Coriander,Powdery mildew,2 gm/Litre of water
Miticide,Sulphur,Phytovit 80 DF,AP-510,Axil Life Sciences Limited,Cucurbits,Powdery mildew,2 gm/Litre of water
Miticide,Sulphur,Phytovit 80 DF,AP-510,Axil Life Sciences Limited,Jute,Yellow mites,1.75 Kg
Miticide,Sulphur,Vitasul 80 WP,AP-513,Padma Agro Sprayers Co.,Cucurbits,Powdery mildew,2 gm/Litre of water
Miticide,Sulphur,Prosulf 80% DF,AP-529,Haychem (Bangladesh) Limited,Tea,Red mites,2.25 Kg
Miticide,Sulphur,Prosulf 80% DF,AP-529,Haychem (Bangladesh) Limited,Jute,Yellow mites,1.75 Kg
Miticide,Sulphur,Kumulus DF,AP-548,BASF Bangladesh Limited,Tea,Red spider mites & other mites,2.20 Kg
Miticide,Sulphur,Kumulus DF,AP-548,BASF Bangladesh Limited,"Bottle gourd, Potato",Powdery mildew,2.00 kg
Miticide,Sulphur,Kumulus DF,AP-548,BASF Bangladesh Limited,"Cucumber,Teasle gourd",Powdery mildew,2.00 kg
Miticide,Sulphur,Kumulus DF,AP-548,BASF Bangladesh Limited,"Bitter gourd, Bean,",Powdery mildew,2.00 kg
Miticide,Sulphur,Kumulus DF,AP-548,BASF Bangladesh Limited,"Cabbage,",Powdery mildew,2.00 kg
Miticide,Sulphur,Kumulus DF,AP-548,BASF Bangladesh Limited,"Snake gourd,",Powdery mildew,2.00 kg
Miticide,Sulphur,Kumulus DF,AP-548,BASF Bangladesh Limited,"gourd, Watermelon",Powdery mildew,2.00 kg
Miticide,Sulphur,Kumulus DF,AP-548,BASF Bangladesh Limited,Rice,Leaf scald,2.50 Kg
Miticide,Sulphur,Thiovit 80 WG,AP-552,Syngenta Bangladesh Limited,Jute,Yellow & Red mites,3.30 Kg
Miticide,Sulphur,Thiovit 80 WG,AP-552,Syngenta Bangladesh Limited,"Bottle gourd,",Powdery mildew,2.25 Kg
Miticide,Sulphur,Thiovit 80 WG,AP-552,Syngenta Bangladesh Limited,"Cucumber,",Powdery mildew,2.25 Kg
Miticide,Sulphur,Thiovit 80 WG,AP-552,Syngenta Bangladesh Limited,"Bitter gourd,",Powdery mildew,2.25 Kg
